,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
4,Indiana Pacers,82,241.8,39.3,86.3,.455,8.0,21.0,.378,31.3,65.3,.480,18.6,23.0,.807,11.3,32.5,43.7,21.6,7.0,5.3,14.5,23.1,105.1,2009
5,Denver Nuggets*,82,240.6,37.3,79.4,.470,6.7,18.0,.371,30.6,61.4,.499,23.1,30.3,.760,11.0,30.6,41.6,22.2,8.7,6.0,15.3,22.9,104.3,2009
6,Utah Jazz*,82,242.4,38.3,80.8,.475,4.8,13.7,.349,33.5,67.1,.500,22.1,28.7,.771,11.5,29.5,41.0,24.7,8.8,4.6,14.8,22.3,103.6,2009
7,Chicago Bulls*,82,243.0,38.1,83.5,.457,6.0,15.8,.381,32.1,67.7,.474,19.9,25.0,.796,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,102.2,2009
8,Dallas Mavericks*,82,241.5,38.1,82.6,.462,7.0,19.9,.350,31.2,62.7,.498,18.5,22.6,.819,11.1,31.6,42.7,21.7,7.2,5.2,12.7,19.5,101.7,2009
9,Orlando Magic*,82,240.6,35.7,78.2,.457,10.0,26.2,.381,25.8,52.1,.495,19.6,27.5,.715,10.0,33.3,43.3,19.4,7.0,5.4,13.9,20.3,101.0,2009
10,Boston Celtics*,82,242.4,37.5,77.2,.486,6.6,16.5,.397,30.9,60.7,.510,19.4,25.3,.765,10.6,31.5,42.1,22.7,7.6,4.7,15.6,23.1,100.9,2009
11,Sacramento Kings,82,242.7,36.5,81.5,.447,7.1,19.4,.368,29.3,62.1,.472,20.5,25.7,.798,10.2,28.9,39.1,19.7,6.9,4.3,15.4,23.3,100.6,2009
12,Cleveland Cavaliers*,82,241.2,36.9,78.7,.468,8.0,20.4,.393,28.9,58.3,.495,18.6,24.5,.757,10.8,31.4,42.2,20.3,7.2,5.3,12.7,20.3,100.3,2009
13,Portland Trail Blazers*,82,241.8,36.8,79.2,.465,7.3,19.0,.383,29.5,60.2,.490,18.5,24.2,.765,12.9,28.8,41.7,20.3,6.7,4.9,12.9,20.4,99.4,2009
14,Milwaukee Bucks,82,241.2,36.7,82.4,.445,6.2,17.2,.363,30.5,65.2,.467,19.7,25.2,.780,11.9,28.9,40.7,22.0,7.4,3.8,14.1,24.2,99.3,2009
15,,,,,,,,,,,,,,,,,,,,,,,,,2009
16,Toronto Raptors,82,241.5,37.2,81.4,.458,5.8,15.7,.372,31.4,65.7,.478,18.7,22.7,.824,9.8,30.6,40.4,22.4,6.4,4.8,13.4,19.4,99.0,2009
17,Houston Rockets*,82,241.5,36.1,79.6,.453,7.6,20.2,.375,28.5,59.4,.480,18.7,23.2,.805,10.5,32.5,43.0,20.3,6.7,4.3,14.1,18.9,98.4,2009
18,Miami Heat*,82,243.4,37.0,81.0,.457,7.1,19.9,.357,29.9,61.2,.489,17.2,22.8,.754,10.1,29.4,39.5,20.4,7.9,5.5,12.5,20.7,98.3,2009
19,Atlanta Hawks*,82,240.3,36.0,78.7,.458,7.3,19.9,.366,28.8,58.8,.490,18.7,25.4,.737,10.6,29.4,40.0,20.2,7.4,4.6,12.8,19.6,98.1,2009
20,New Jersey Nets,82,241.8,35.7,79.7,.448,8.0,21.2,.376,27.7,58.5,.473,18.8,24.1,.779,10.4,29.5,39.8,20.0,6.8,4.8,13.1,22.4,98.1,2009
21,Minnesota Timberwolves,82,241.5,36.4,82.5,.441,6.6,18.8,.353,29.8,63.7,.467,18.3,23.9,.769,11.9,29.8,41.7,20.4,6.2,3.9,14.2,21.8,97.8,2009
22,Philadelphia 76ers*,82,240.9,36.5,79.7,.459,4.2,13.1,.318,32.4,66.6,.486,20.1,27.0,.745,12.7,28.5,41.2,20.1,8.0,5.1,14.1,20.1,97.4,2009
23,San Antonio Spurs*,82,242.7,37.1,79.7,.466,7.6,19.8,.386,29.5,59.9,.492,15.2,20.0,.761,8.9,32.2,41.0,21.2,5.8,4.0,11.7,18.9,97.0,2009
24,Oklahoma City Thunder,82,241.5,36.6,81.9,.447,4.0,11.6,.346,32.6,70.3,.463,19.8,25.2,.786,12.2,30.5,42.6,20.3,7.4,4.5,16.2,20.2,97.0,2009
25,Washington Wizards,82,240.3,36.5,81.2,.450,4.8,14.6,.330,31.7,66.5,.476,18.2,23.8,.767,11.7,28.4,40.1,20.0,7.5,4.5,14.0,20.5,96.1,2009
26,New Orleans Hornets*,82,240.9,35.5,77.6,.457,6.8,18.6,.364,28.7,59.0,.487,18.0,22.4,.807,9.8,29.9,39.7,19.6,7.2,4.1,12.5,20.3,95.8,2009
27,Los Angeles Clippers,82,242.4,36.0,81.7,.441,6.5,18.5,.354,29.5,63.2,.467,16.5,22.4,.736,10.9,29.0,39.8,21.0,7.0,5.9,14.9,20.1,95.1,2009
28,Detroit Pistons*,82,242.7,36.4,80.0,.454,4.6,13.2,.349,31.8,66.8,.475,16.9,22.5,.751,11.6,29.9,41.4,20.6,6.0,4.6,11.9,20.9,94.2,2009
29,Memphis Grizzlies,82,241.5,34.9,77.0,.454,4.9,13.5,.360,30.1,63.5,.474,19.1,25.3,.756,10.3,28.5,38.8,17.4,7.5,4.7,15.3,21.7,93.9,2009
30,Charlotte Bobcats,82,243.0,35.0,76.8,.455,6.0,16.3,.366,29.0,60.5,.479,17.7,24.0,.740,10.8,28.9,39.7,21.2,7.1,4.8,15.6,21.4,93.6,2009
0,Phoenix Suns*,82,240.6,40.7,82.8,.492,8.9,21.6,.412,31.8,61.2,.520,19.9,25.8,.770,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9,110.2,2010
1,Golden State Warriors,82,240.6,40.6,86.5,.469,7.7,20.6,.375,32.9,65.9,.499,19.9,25.4,.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8,2010
2,Denver Nuggets*,82,241.2,38.1,81.4,.468,6.6,18.5,.359,31.5,62.9,.500,23.6,30.6,.772,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5,106.5,2010
3,Utah Jazz*,82,240.9,39.4,80.2,.491,5.4,14.7,.364,34.0,65.5,.519,20.2,27.2,.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2,2010
4,Toronto Raptors,82,241.2,39.0,80.9,.482,6.3,17.0,.371,32.7,63.8,.512,19.7,25.8,.764,9.8,30.6,40.4,22.0,5.7,4.7,13.4,22.2,104.1,2010
5,Orlando Magic*,82,240.6,36.6,78.0,.470,10.3,27.3,.375,26.4,50.6,.521,19.2,26.5,.724,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8,2010
6,Memphis Grizzlies,82,242.7,39.3,83.8,.469,4.2,12.4,.337,35.1,71.4,.492,19.7,26.9,.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5,2010
7,Houston Rockets,82,242.7,37.7,84.4,.447,7.9,22.4,.351,29.9,62.0,.481,19.0,24.7,.772,11.8,30.1,42.0,21.8,7.1,3.9,14.5,20.9,102.4,2010
8,New York Knicks,82,242.4,38.1,83.9,.455,9.1,26.2,.346,29.1,57.7,.504,16.8,21.5,.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1,2010
9,Cleveland Cavaliers*,82,241.2,37.8,77.9,.485,7.3,19.3,.381,30.5,58.6,.520,19.1,26.6,.720,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1,2010
10,Dallas Mavericks*,82,242.4,38.3,82.4,.464,6.8,18.3,.372,31.5,64.2,.491,18.6,22.8,.816,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1,102.0,2010
11,Los Angeles Lakers*,82,241.8,38.3,83.8,.457,6.5,19.0,.341,31.9,64.8,.492,18.5,24.2,.765,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4,101.7,2010
12,Atlanta Hawks*,82,242.1,38.8,82.9,.468,6.4,17.7,.360,32.4,65.2,.497,17.7,23.3,.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7,2010
13,Oklahoma City Thunder*,82,241.5,37.4,80.8,.462,5.1,15.0,.340,32.3,65.9,.490,21.7,27.0,.805,11.7,31.8,43.5,20.0,8.0,5.9,15.0,21.3,101.5,2010
14,San Antonio Spurs*,82,241.2,38.4,81.2,.473,6.8,18.9,.358,31.7,62.3,.508,17.8,24.0,.740,10.8,32.0,42.8,22.3,6.3,4.6,13.6,20.4,101.4,2010
15,,,,,,,,,,,,,,,,,,,,,,,,,2010
16,Indiana Pacers,82,240.3,36.8,83.2,.443,8.0,23.1,.348,28.8,60.1,.479,19.1,24.6,.775,9.6,31.9,41.5,21.1,7.1,5.4,15.0,22.5,100.8,2010
17,New Orleans Hornets,82,241.8,38.8,83.4,.464,7.0,19.2,.363,31.8,64.3,.495,15.8,20.3,.778,10.4,29.9,40.3,22.3,7.6,3.7,13.5,19.6,100.2,2010
18,Sacramento Kings,82,242.4,38.3,84.1,.456,5.9,16.9,.349,32.5,67.2,.483,17.4,24.0,.726,11.9,30.7,42.6,20.5,6.9,4.5,15.0,22.3,100.0,2010
19,Boston Celtics*,82,241.2,37.1,76.8,.483,6.1,17.5,.348,31.0,59.3,.523,19.0,25.5,.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2,2010
20,Minnesota Timberwolves,82,241.2,37.9,84.4,.449,4.9,14.4,.341,33.0,70.0,.471,17.5,23.5,.746,11.7,31.2,42.9,19.8,7.3,3.7,16.3,20.7,98.2,2010
21,Portland Trail Blazers*,82,242.1,36.3,78.7,.461,6.0,16.9,.354,30.3,61.8,.490,19.6,24.8,.790,11.1,29.1,40.2,20.4,6.4,4.3,12.3,20.9,98.1,2010
22,Philadelphia 76ers,82,241.5,37.6,81.8,.460,5.8,16.8,.343,31.9,64.9,.491,16.7,22.0,.756,11.5,29.5,41.0,21.0,8.1,5.4,14.5,20.5,97.7,2010
23,Milwaukee Bucks*,82,243.7,37.2,85.3,.436,7.9,22.1,.356,29.3,63.2,.464,15.4,20.4,.755,11.8,31.2,43.0,21.2,7.1,4.7,13.2,22.2,97.7,2010
24,Chicago Bulls*,82,242.7,37.6,83.2,.451,4.3,13.0,.330,33.3,70.2,.474,18.0,23.9,.754,11.4,33.1,44.5,20.8,6.5,5.8,14.3,20.1,97.5,2010
25,Miami Heat*,82,242.4,36.4,79.5,.458,6.0,17.4,.346,30.4,62.1,.489,17.7,23.5,.752,10.7,31.1,41.8,18.9,7.4,5.6,13.2,20.9,96.5,2010
26,Washington Wizards,82,241.8,36.7,81.7,.449,5.3,14.9,.353,31.4,66.8,.471,17.6,23.1,.762,11.8,30.0,41.8,19.0,6.0,5.1,14.9,21.4,96.2,2010
27,Los Angeles Clippers,82,240.3,36.6,80.5,.455,5.9,17.8,.332,30.7,62.7,.490,16.6,22.8,.730,11.3,30.5,41.8,22.1,6.5,5.7,15.7,19.3,95.7,2010
28,Charlotte Bobcats*,82,242.4,34.9,76.9,.453,5.6,16.2,.346,29.2,60.7,.482,20.0,26.6,.751,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,95.3,2010
29,Detroit Pistons,82,241.2,35.9,80.5,.445,4.6,14.5,.314,31.3,66.0,.474,17.7,24.4,.728,12.8,27.3,40.2,19.4,7.3,3.8,13.4,22.2,94.0,2010
30,New Jersey Nets,82,241.2,34.3,79.9,.429,4.6,14.5,.318,29.7,65.5,.454,19.2,24.6,.780,10.9,28.8,39.7,18.8,7.0,4.8,14.4,20.0,92.4,2010
0,Denver Nuggets*,82,240.3,38.4,80.6,.476,8.1,20.8,.388,30.3,59.9,.506,22.7,29.6,.765,9.6,32.3,42.0,22.1,7.4,4.3,14.1,21.0,107.5,2011
1,New York Knicks*,82,241.2,38.3,83.7,.457,9.3,25.4,.368,29.0,58.4,.496,20.6,25.5,.809,10.3,30.1,40.5,21.4,7.6,5.8,13.7,21.3,106.5,2011
2,Houston Rockets,82,242.4,38.7,85.1,.454,8.3,22.5,.367,30.4,62.6,.486,20.3,25.4,.801,11.7,31.1,42.8,23.8,7.1,4.5,13.5,20.0,105.9,2011
3,Phoenix Suns,82,244.0,39.3,83.5,.470,8.5,22.6,.377,30.7,60.8,.505,18.0,23.6,.759,10.0,30.2,40.2,23.7,6.6,4.4,14.3,20.3,105.0,2011
4,Oklahoma City Thunder*,82,244.0,37.4,80.6,.464,5.9,17.1,.347,31.5,63.5,.495,24.1,29.3,.823,11.0,31.8,42.8,20.4,8.0,5.9,14.1,22.4,104.8,2011
5,San Antonio Spurs*,82,241.2,38.4,80.8,.475,8.4,21.1,.397,30.0,59.8,.503,18.5,24.2,.767,10.1,31.7,41.9,22.4,7.3,4.5,13.4,19.0,103.7,2011
6,Golden State Warriors,82,241.8,39.6,85.9,.461,8.4,21.3,.392,31.3,64.6,.484,15.7,20.7,.761,11.6,28.9,40.5,22.5,9.0,5.0,14.6,22.0,103.4,2011
7,Miami Heat*,82,241.2,37.0,76.8,.481,6.7,18.0,.370,30.3,58.8,.515,21.5,27.9,.769,9.6,32.5,42.1,20.0,6.6,5.2,13.9,20.4,102.1,2011
8,Los Angeles Lakers*,82,241.8,38.1,82.4,.463,6.4,18.1,.352,31.8,64.3,.494,18.8,24.1,.779,12.1,31.9,44.0,22.0,7.3,5.1,13.1,19.0,101.5,2011
9,Minnesota Timberwolves,82,241.2,37.7,85.5,.441,7.2,19.1,.376,30.5,66.5,.459,18.5,24.1,.768,13.2,31.2,44.4,20.1,7.2,5.1,17.0,22.3,101.1,2011
10,Dallas Mavericks*,82,240.3,37.4,78.8,.475,7.9,21.6,.365,29.6,57.3,.516,17.5,22.6,.777,9.5,31.9,41.4,23.8,6.8,4.3,14.0,19.2,100.2,2011
11,Memphis Grizzlies*,82,242.4,39.0,82.9,.471,3.8,11.3,.334,35.3,71.6,.492,18.1,24.2,.750,11.8,29.2,41.0,20.6,9.4,5.4,14.0,20.8,99.9,2011
12,Indiana Pacers*,82,241.2,36.6,82.8,.442,7.1,20.2,.354,29.5,62.6,.471,19.4,24.8,.782,11.1,32.4,43.5,19.6,7.1,5.6,15.4,21.7,99.8,2011
13,Utah Jazz,82,242.4,37.4,80.4,.465,5.3,15.3,.346,32.1,65.0,.493,19.4,25.1,.771,11.0,28.5,39.5,23.4,7.7,5.9,14.3,22.7,99.4,2011
14,Sacramento Kings,82,242.1,38.2,85.1,.449,5.2,15.6,.335,33.0,69.5,.475,17.7,24.2,.734,13.1,30.8,43.9,20.4,7.4,4.8,16.1,22.0,99.4,2011
15,,,,,,,,,,,,,,,,,,,,,,,,,2011
16,Orlando Magic*,82,241.8,36.0,78.2,.461,9.4,25.6,.366,26.7,52.5,.507,17.7,25.6,.692,10.5,32.7,43.2,20.0,6.7,4.7,14.9,20.0,99.2,2011
17,Toronto Raptors,82,241.2,38.3,82.4,.465,4.2,13.3,.316,34.1,69.1,.494,18.2,24.1,.755,11.7,28.6,40.3,21.9,7.1,4.3,14.7,22.0,99.1,2011
18,Philadelphia 76ers*,82,243.0,38.1,82.6,.461,5.4,15.2,.355,32.7,67.4,.485,17.4,22.6,.770,10.4,31.4,41.8,22.7,7.6,4.3,13.0,19.4,99.0,2011
19,Los Angeles Clippers,82,242.1,36.8,80.4,.457,6.3,18.5,.338,30.5,61.9,.493,18.9,26.7,.707,11.6,30.5,42.1,22.1,7.1,4.9,16.4,21.1,98.6,2011
20,Chicago Bulls*,82,241.8,37.1,80.3,.462,6.2,17.3,.361,30.9,63.1,.489,18.2,24.5,.743,11.8,32.4,44.2,22.3,7.2,5.7,14.2,20.0,98.6,2011
21,Washington Wizards,82,243.0,37.2,84.0,.443,4.8,14.4,.332,32.4,69.6,.465,18.2,24.4,.745,12.4,29.0,41.3,19.4,8.1,6.1,15.3,22.6,97.3,2011
22,Detroit Pistons,82,242.4,37.3,81.1,.460,5.8,15.3,.376,31.5,65.7,.479,16.7,22.6,.737,11.4,27.3,38.6,21.1,7.3,4.0,13.0,19.9,97.0,2011
23,Boston Celtics*,82,241.2,36.9,75.8,.486,5.0,13.6,.365,31.9,62.2,.513,17.8,23.1,.770,7.8,31.0,38.8,23.4,8.2,4.2,14.6,20.5,96.5,2011
24,Portland Trail Blazers*,82,241.5,36.0,80.5,.447,6.3,18.3,.345,29.7,62.1,.477,18.0,22.4,.804,12.1,27.2,39.3,21.2,8.0,4.4,13.0,19.3,96.3,2011
25,Cleveland Cavaliers,82,240.9,35.2,81.1,.434,6.2,18.2,.342,29.0,62.9,.461,18.9,25.3,.745,10.4,29.9,40.3,21.0,6.6,4.2,14.2,20.1,95.5,2011
26,Atlanta Hawks*,82,240.6,36.2,78.4,.462,6.1,17.4,.352,30.1,61.0,.494,16.4,21.1,.779,9.3,30.0,39.3,22.0,6.1,4.2,13.6,19.0,95.0,2011
27,New Orleans Hornets*,82,241.8,35.9,78.2,.459,5.4,15.0,.360,30.5,63.2,.482,17.7,23.1,.765,10.0,30.1,40.1,20.6,7.6,4.4,13.0,21.0,94.9,2011
28,New Jersey Nets,82,244.0,35.6,81.0,.440,5.6,16.3,.343,30.0,64.6,.464,17.4,22.9,.759,11.1,29.8,40.8,21.0,5.6,4.7,14.0,22.0,94.2,2011
29,Charlotte Bobcats,82,241.5,35.0,77.6,.451,4.8,14.7,.327,30.2,63.0,.480,18.4,24.4,.756,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20.0,93.3,2011
30,Milwaukee Bucks,82,241.8,34.3,79.8,.430,5.9,17.2,.342,28.4,62.6,.454,17.4,22.9,.757,10.5,30.2,40.8,18.8,7.5,4.9,13.5,20.5,91.9,2011
0,Denver Nuggets*,66,243.0,39.0,81.9,.476,6.6,19.9,.332,32.4,62.0,.522,19.6,26.7,.735,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7,104.1,2012
1,San Antonio Spurs*,66,241.5,39.6,82.8,.478,8.4,21.3,.393,31.2,61.5,.507,16.2,21.6,.748,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3,103.7,2012
2,Oklahoma City Thunder*,66,242.3,37.3,79.2,.471,7.2,20.0,.358,30.2,59.3,.509,21.3,26.4,.806,11.0,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1,2012
3,Utah Jazz*,66,244.9,38.2,83.8,.456,4.1,12.8,.323,34.1,71.0,.480,19.1,25.3,.754,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7,2012
4,Milwaukee Bucks,66,240.4,37.9,85.6,.443,6.6,19.2,.345,31.3,66.5,.471,16.6,21.4,.774,12.4,30.0,42.5,23.5,8.3,5.1,14.1,19.3,99.0,2012
5,Sacramento Kings,66,241.1,37.7,86.5,.436,6.2,19.7,.316,31.5,66.8,.471,17.1,23.2,.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8,2012
6,Miami Heat*,66,243.0,37.1,79.0,.469,5.6,15.6,.359,31.5,63.4,.496,18.8,24.2,.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,2012
7,Phoenix Suns,66,240.0,37.8,82.5,.458,6.7,19.6,.343,31.1,62.9,.494,16.0,21.2,.757,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4,2012
8,Houston Rockets,66,243.4,37.7,84.0,.449,7.2,20.2,.359,30.5,63.8,.477,15.4,19.7,.782,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,98.1,2012
9,Minnesota Timberwolves,66,241.5,35.7,82.3,.433,7.2,21.6,.332,28.5,60.8,.469,19.4,25.2,.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9,2012
10,New York Knicks*,66,241.5,35.8,80.8,.443,7.8,23.3,.336,28.0,57.5,.487,18.3,24.8,.741,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8,2012
11,Golden State Warriors,66,241.1,37.7,82.5,.457,7.9,20.5,.388,29.8,62.0,.480,14.4,18.7,.770,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4,97.8,2012
12,Indiana Pacers*,66,242.3,35.7,81.4,.438,5.9,16.1,.368,29.7,65.3,.455,20.4,26.1,.782,12.5,31.4,43.9,18.6,7.9,5.4,14.0,21.7,97.7,2012
13,Los Angeles Clippers*,66,241.9,37.0,81.3,.455,7.8,21.8,.357,29.2,59.5,.490,15.8,23.3,.680,12.1,29.4,41.6,21.0,8.4,4.8,13.3,21.2,97.5,2012
14,Los Angeles Lakers*,66,243.4,36.8,80.6,.457,5.5,16.8,.326,31.3,63.7,.491,18.2,24.1,.756,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3,2012
15,,,,,,,,,,,,,,,,,,,,,,,,,2012
16,Portland Trail Blazers,66,241.9,36.4,82.1,.443,7.2,20.9,.346,29.2,61.1,.477,17.2,21.6,.796,11.1,29.5,40.7,20.4,8.0,4.9,14.2,19.0,97.2,2012
17,Atlanta Hawks*,66,244.9,36.8,81.0,.454,7.5,20.2,.370,29.3,60.9,.482,15.5,21.0,.740,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6,2012
18,Chicago Bulls*,66,241.5,37.4,82.8,.452,6.3,16.9,.375,31.0,65.8,.471,15.2,21.1,.722,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,96.3,2012
19,Dallas Mavericks*,66,243.4,36.3,82.0,.443,7.5,22.2,.339,28.8,59.8,.482,15.6,20.2,.771,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,95.8,2012
20,Memphis Grizzlies*,66,241.5,36.7,82.2,.447,4.2,12.9,.326,32.5,69.3,.470,17.3,22.8,.759,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9,95.0,2012
21,Orlando Magic*,66,241.9,34.5,78.2,.441,10.2,27.0,.375,24.3,51.2,.475,15.1,22.8,.660,11.2,31.2,42.5,20.0,6.8,4.2,14.9,17.7,94.2,2012
22,Washington Wizards,66,240.4,36.6,83.0,.441,5.2,16.3,.320,31.4,66.7,.470,15.3,21.0,.727,11.7,29.9,41.7,19.1,8.0,6.3,15.3,21.3,93.6,2012
23,Philadelphia 76ers*,66,241.1,37.4,83.6,.448,5.3,14.6,.362,32.2,69.0,.466,13.5,18.2,.742,10.7,32.5,43.2,22.0,8.0,5.2,11.2,17.5,93.6,2012
24,New Jersey Nets,66,240.8,34.3,80.6,.425,7.7,22.4,.342,26.6,58.2,.457,16.9,21.7,.777,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,93.1,2012
25,Cleveland Cavaliers,66,241.9,34.3,81.2,.422,6.7,19.3,.346,27.6,61.9,.446,17.8,24.9,.716,12.7,29.5,42.3,19.8,7.1,4.0,15.4,20.0,93.0,2012
26,Boston Celtics*,66,241.5,35.5,77.1,.460,5.5,15.0,.367,30.0,62.1,.483,15.4,19.8,.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,2012
27,Detroit Pistons,66,241.9,34.7,79.3,.438,4.8,13.9,.346,29.9,65.4,.457,16.6,22.1,.752,11.7,28.5,40.3,18.7,7.0,4.2,15.7,19.6,90.9,2012
28,Toronto Raptors,66,241.9,34.4,78.1,.440,5.5,16.3,.340,28.8,61.8,.467,16.4,21.4,.770,10.6,31.4,42.0,20.9,6.5,4.9,15.2,23.2,90.7,2012
29,New Orleans Hornets,66,241.5,34.8,77.3,.451,3.9,11.8,.333,30.9,65.5,.472,16.0,21.2,.757,11.0,30.2,41.1,20.7,7.4,4.8,15.5,20.1,89.6,2012
30,Charlotte Bobcats,66,240.8,33.2,80.2,.414,4.0,13.5,.295,29.2,66.7,.439,16.5,22.2,.746,10.3,28.7,39.0,20.1,6.0,5.5,14.5,18.9,87.0,2012
0,Denver Nuggets*,82,242.7,40.7,85.2,.478,6.4,18.5,.343,34.4,66.6,.516,18.4,26.2,.701,13.3,31.7,45.0,24.4,9.3,6.5,15.3,20.5,106.1,2013
1,Houston Rockets*,82,241.2,38.1,82.7,.461,10.6,28.9,.366,27.5,53.8,.511,19.2,25.5,.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106.0,2013
2,Oklahoma City Thunder*,82,241.8,38.1,79.3,.481,7.3,19.4,.377,30.8,60.0,.514,22.2,26.8,.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,2013
3,San Antonio Spurs*,82,242.4,39.1,81.4,.481,8.1,21.5,.376,31.1,59.9,.519,16.6,21.0,.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,2013
4,Miami Heat*,82,242.4,38.4,77.4,.496,8.7,22.1,.396,29.6,55.4,.536,17.4,23.0,.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,2013
5,Los Angeles Lakers*,82,240.9,37.1,81.0,.458,8.7,24.6,.355,28.4,56.4,.503,19.3,27.9,.692,11.5,33.3,44.8,22.2,7.0,5.2,15.0,17.9,102.2,2013
6,Golden State Warriors*,82,241.5,38.2,83.4,.458,8.0,19.9,.403,30.1,63.5,.475,16.8,21.3,.790,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,2013
7,Dallas Mavericks,82,243.7,38.8,84.0,.462,7.4,19.9,.372,31.4,64.2,.489,16.1,20.4,.793,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,101.1,2013
8,Los Angeles Clippers*,82,240.6,38.5,80.6,.478,7.6,21.4,.358,30.9,59.2,.522,16.4,23.0,.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1,2013
9,Sacramento Kings,82,241.8,37.6,84.2,.447,7.4,20.5,.363,30.2,63.7,.474,17.5,22.8,.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,2013
10,New York Knicks*,82,240.6,36.5,81.6,.448,10.9,28.9,.376,25.7,52.7,.487,16.0,21.1,.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0,2013
11,Milwaukee Bucks*,82,241.8,38.1,87.8,.435,7.3,20.4,.360,30.8,67.4,.457,15.3,20.7,.736,13.0,30.9,44.0,22.9,8.4,6.7,14.1,19.0,98.9,2013
12,Utah Jazz,82,242.4,37.1,81.8,.454,6.2,16.9,.366,31.0,64.9,.477,17.5,23.0,.764,12.1,30.0,42.0,22.7,8.4,6.3,14.8,21.3,98.0,2013
13,Atlanta Hawks*,82,242.1,37.6,81.0,.464,8.6,23.2,.371,29.0,57.8,.501,14.1,19.7,.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0,2013
14,Portland Trail Blazers,82,242.1,36.7,81.9,.448,8.2,23.2,.353,28.5,58.7,.486,15.9,20.5,.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5,2013
15,Toronto Raptors,82,243.7,36.3,81.5,.446,7.0,20.3,.343,29.4,61.2,.480,17.6,22.3,.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,2013
16,Brooklyn Nets*,82,242.1,35.9,79.8,.450,7.7,21.5,.357,28.2,58.3,.484,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9,2013
17,Cleveland Cavaliers,82,240.6,36.5,84.2,.434,6.7,19.3,.346,29.8,64.9,.460,16.8,22.3,.756,12.2,28.8,41.0,20.7,7.9,4.1,14.0,21.2,96.5,2013
18,Minnesota Timberwolves,82,240.6,35.9,81.7,.439,5.5,18.0,.305,30.4,63.7,.477,18.5,24.9,.742,11.9,30.2,42.0,22.4,8.5,4.7,14.8,18.4,95.7,2013
19,Boston Celtics*,81,244.9,37.0,79.7,.465,6.1,17.2,.358,30.9,62.6,.494,16.3,21.0,.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,2013
